word,meaning,example
Heart,হৃদয়,He has a kind heart. (তার একটি দয়ালু হৃদয় আছে।)
Heat,তাপ,I cannot bear the heat. (আমি তাপ সহ্য করতে পারছি না।)
Heaven,স্বর্গ,She believes she will go to heaven. (সে বিশ্বাস করে সে স্বর্গে যাবে।)
Heavy,ভারী,This bag is very heavy. (এই ব্যাগটি খুব ভারী।)
Height,উচ্চতা,What is your height? (তোমার উচ্চতা কত?)
Heir,উত্তরাধিকারী,He is the heir to the throne. (সে সিংহাসনের উত্তরাধিকারী।)
Hence,সুতরাং,He is ill, hence he cannot come. (সে অসুস্থ, সুতরাং সে আসতে পারবে না।)
Hesitate,ইতস্তত করা,Don't hesitate to ask for help. (সাহায্য চাইতে ইতস্তত করো না।)
Hidden,লুকানো,There is a hidden treasure. (একটি লুকানো ধন আছে।)
Highlight,আলোকপাত করা,Please highlight the main points. (অনুগ্রহ করে প্রধান বিষয়গুলির উপর আলোকপাত করুন।)
High,উচ্চ,The mountain is very high. (পর্বতটি খুব উচ্চ।)
Hint,ইঙ্গিত,He gave me a hint. (সে আমাকে একটি ইঙ্গিত দিল।)
Hire,ভাড়া করা,We need to hire a car. (আমাদের একটি গাড়ি ভাড়া করতে হবে।)
Hold,ধরা,Please hold my hand. (অনুগ্রহ করে আমার হাত ধরো।)
Hollow,ফাঁপা,The tree is hollow inside. (গাছটি ভেতরে ফাঁপা।)
Holy,পবিত্র,This is a holy place. (এটি একটি পবিত্র স্থান।)
Honest,সৎ,He is an honest man. (সে একজন সৎ লোক।)
Honor,সম্মান,It is an honor to meet you. (আপনার সাথে দেখা হওয়াটা সম্মানের।)
Hope,আশা,There is always hope. (সবসময় আশা থাকে।)
Horror,ভয়,She screamed in horror. (সে ভয়ে চিৎকার করে উঠলো।)
Host,আমন্ত্রণকর্তা,He is the host of the party. (সে পার্টির আমন্ত্রণকর্তা।)
Huge,বিশাল,He lives in a huge house. (সে একটি বিশাল বাড়িতে বাস করে।)
Human,মানুষ,He is only human. (সে কেবল একজন মানুষ।)
Humble,বিনীত,He is very humble. (সে খুব বিনীত।)
Humor,কৌতুক,He has a great sense of humor. (তার কৌতুক জ্ঞান খুব ভালো।)
Hunt,শিকার করা,They went hunting in the forest. (তারা বনে শিকার করতে গিয়েছিল।)
Hurry,তাড়াহুড়ো করা,Don't hurry, take your time. (তাড়াহুড়ো করো না, তোমার সময় নাও।)
Hurt,আঘাত করা,Did you hurt yourself? (তুমি কি নিজেকে আঘাত করেছো?)
Ideal,আদর্শ,He is my ideal. (সে আমার আদর্শ।)
Identify,শনাক্ত করা,Can you identify the person in the photo? (আপনি কি ছবির ব্যক্তিটিকে শনাক্ত করতে পারেন?)
Identity,পরিচয়,What is his identity? (তার পরিচয় কী?)
Ignore,উপেক্ষা করা,He ignored my advice. (সে আমার উপদেশ উপেক্ষা করেছিল।)
Illegal,বেআইনি,It is illegal to park here. (এখানে পার্ক করা বেআইনি।)
Illness,অসুস্থতা,He is recovering from a long illness. (সে দীর্ঘ অসুস্থতা থেকে সেরে উঠছে।)
Illustrate,ব্যাখ্যা করা,Let me illustrate this point with an example. (আমাকে একটি উদাহরণ দিয়ে এই বিষয়টি ব্যাখ্যা করতে দিন।)
Image,চিত্র,He created a beautiful image. (সে একটি সুন্দর চিত্র তৈরি করেছিল।)
Imagine,কল্পনা করা,Can you imagine a world without music? (তুমি কি সঙ্গীত ছাড়া একটি বিশ্ব কল্পনা করতে পারো?)
Imitate,অনুকরণ করা,He can imitate his father's voice. (সে তার বাবার কণ্ঠস্বর অনুকরণ করতে পারে।)
Immediate,তাৎক্ষণিক,We need an immediate response. (আমাদের একটি তাৎক্ষণিক সাড়া দরকার।)
Immense,বিশাল,He has an immense knowledge. (তার বিশাল জ্ঞান রয়েছে।)
Impact,প্রভাব,The new law will have a major impact. (নতুন আইনটির একটি বড় প্রভাব পড়বে।)
Imply,ইঙ্গিত করা,What did his silence imply? (তার নীরবতা কী ইঙ্গিত করেছিল?)
Import,আমদানি করা,We import oil from other countries. (আমরা অন্য দেশ থেকে তেল আমদানি করি।)
Impose,আরোপ করা,They imposed new taxes. (তারা নতুন কর আরোপ করেছিল।)
Impress,প্রভাবিত করা,His speech impressed everyone. (তার বক্তৃতা সবাইকে প্রভাবিত করেছিল।)
Impression,ছাপ,He made a good impression. (সে একটি ভালো ছাপ ফেলেছিল।)
Improve,উন্নতি করা,I need to improve my English. (আমার ইংরেজি উন্নতি করতে হবে।)
Incapable,অক্ষম,He is incapable of doing this job. (সে এই কাজটি করতে অক্ষম।)
Incident,ঘটনা,It was a strange incident. (এটি একটি অদ্ভুত ঘটনা ছিল।)
Incline,ঝোঁক থাকা,He is inclined to be lazy. (তার অলস হওয়ার ঝোঁক আছে।)
Include,অন্তর্ভুক্ত করা,Does the price include tax? (মূল্যটিতে কি কর অন্তর্ভুক্ত আছে?)
Income,আয়,What is your monthly income? (তোমার মাসিক আয় কত?)
Increase,বৃদ্ধি করা,They increased the price of the product. (তারা পণ্যটির মূল্য বৃদ্ধি করেছিল।)
Indeed,প্রকৃতপক্ষে,He is indeed a great man. (তিনি প্রকৃতপক্ষে একজন মহান মানুষ।)
Independent,স্বাধীন,She is an independent woman. (সে একজন স্বাধীন নারী।)
Index,সূচক,Please check the index of the book. (অনুগ্রহ করে বইয়ের সূচকটি দেখুন।)
Indicate,নির্দেশ করা,The red light indicates danger. (লাল আলো বিপদ নির্দেশ করে।)
Individual,ব্যক্তি,He is a very smart individual. (সে খুব স্মার্ট একজন ব্যক্তি।)
Indoor,অভ্যন্তরীণ,We played some indoor games. (আমরা কিছু অভ্যন্তরীণ খেলা খেলেছিলাম।)
Induce,প্ররোচিত করা,They induced him to confess. (তারা তাকে স্বীকার করতে প্ররোচিত করেছিল।)
Industry,শিল্প,He works in the IT industry. (সে আইটি শিল্পে কাজ করে।)
Inevitable,অনিবার্য,Death is inevitable. (মৃত্যু অনিবার্য।)
Infant,শিশু,She is holding an infant. (সে একটি শিশু ধরে আছে।)
Infect,সংক্রামিত করা,The wound got infected. (ক্ষতটি সংক্রামিত হয়েছিল।)
Infer,অনুমান করা,What can we infer from this? (এ থেকে আমরা কী অনুমান করতে পারি?)
Inferior,নিম্নমানের,This product is inferior to that one. (এই পণ্যটি ওটার চেয়ে নিম্নমানের।)
Infinite,অসীম,The universe is infinite. (মহাবিশ্ব অসীম।)
Influence,প্রভাব,He has a strong influence on his friends. (তার বন্ধুদের উপর তার দৃঢ় প্রভাব আছে।)
Inform,জানানো,Please inform me of your decision. (অনুগ্রহ করে আমাকে আপনার সিদ্ধান্তটি জানান।)
Informal,অনানুষ্ঠানিক,It was an informal meeting. (এটি একটি অনানুষ্ঠানিক সভা ছিল।)
Ingredient,উপাদান,What are the ingredients of this dish? (এই খাবারটির উপাদানগুলি কী কী?)
Initial,প্রাথমিক,My initial reaction was surprise. (আমার প্রাথমিক প্রতিক্রিয়া ছিল বিস্ময়।)
Initiate,শুরু করা,They will initiate the project soon. (তারা শীঘ্রই প্রকল্পটি শুরু করবে।)
Injure,আহত করা,He injured his leg. (সে তার পায়ে আঘাত করেছিল।)
Injustice,অবিচার,We must fight against injustice. (আমাদের অবশ্যই অবিচারের বিরুদ্ধে লড়াই করতে হবে।)
Ink,কালি,There is no ink in my pen. (আমার কলমে কালি নেই।)
Inner,ভেতরের,He has a strong inner strength. (তার একটি শক্তিশালী ভেতরের শক্তি আছে।)
Innocent,নিরপরাধ,He was found innocent. (সে নিরপরাধ প্রমাণিত হয়েছিল।)
Innovate,উদ্ভাবন করা,The company needs to innovate. (কোম্পানিটির উদ্ভাবন করা দরকার।)
Input,ইনপুট,We need your input on this. (এ ব্যাপারে আমাদের আপনার ইনপুট দরকার।)
Inquire,জিজ্ঞাসা করা,I inquired about the train schedule. (আমি ট্রেনের সময়সূচী সম্পর্কে জিজ্ঞাসা করেছিলাম।)
Insane,পাগল,He has an insane idea. (তার একটি পাগল ধারণা আছে।)
Insect,পোকা,An ant is an insect. (একটি পিঁপড়া একটি পোকা।)
Insert,ঢোকানো,Please insert the key. (অনুগ্রহ করে চাবিটি ঢোকান।)
Inside,ভেতরে,What is inside the box? (বাক্সের ভেতরে কী আছে?)
Insight,অন্তর্দৃষ্টি,He has a deep insight into human nature. (তার মানব প্রকৃতি সম্পর্কে গভীর অন্তর্দৃষ্টি আছে।)
Insist,জিদ করা,He insisted on paying the bill. (সে বিলটি পরিশোধ করার জন্য জিদ করেছিল।)
Inspect,পরিদর্শন করা,They came to inspect the factory. (তারা কারখানাটি পরিদর্শন করতে এসেছিল।)
Inspire,অনুপ্রাণিত করা,His speech inspired us. (তার বক্তৃতা আমাদেরকে অনুপ্রাণিত করেছিল।)
Instance,উদাহরণ,For instance, look at this. (উদাহরণস্বরূপ, এটি দেখুন।)
Instant,তাৎক্ষণিক,I need an instant reply. (আমার একটি তাৎক্ষণিক উত্তর দরকার।)
Instead,পরিবর্তে,I will have tea instead of coffee. (আমি কফির পরিবর্তে চা খাব।)
Instinct,সহজাত প্রবৃত্তি,Birds build nests by instinct. (পাখিরা সহজাত প্রবৃত্তি দ্বারা বাসা তৈরি করে।)
Institute,প্রতিষ্ঠান,He works at a research institute. (সে একটি গবেষণা প্রতিষ্ঠানে কাজ করে।)
Instruct,নির্দেশ দেওয়া,He instructed me to wait. (সে আমাকে অপেক্ষা করার নির্দেশ দিল।)
Instrument,যন্ত্র,A piano is a musical instrument. (একটি পিয়ানো একটি বাদ্যযন্ত্র।)
Insult,অপমান করা,Don't insult him. (তাকে অপমান করো না।)
Insure,বীমা করা,Is your car insured? (তোমার গাড়িটি কি বীমা করা আছে?)
Intact,অক্ষত,The house remained intact after the storm. (ঝড়ের পর বাড়িটি অক্ষত ছিল।)
Integrate,একীভূত করা,We need to integrate these two systems. (আমাদের এই দুটি সিস্টেমকে একীভূত করতে হবে।)
Intellect,বুদ্ধি,He is a man of great intellect. (তিনি একজন মহান বুদ্ধির মানুষ।)
Intelligence,বুদ্ধিমত্তা,He is known for his high intelligence. (সে তার উচ্চ বুদ্ধিমত্তার জন্য পরিচিত।)
Intelligent,বুদ্ধিমান,She is a very intelligent student. (সে খুব বুদ্ধিমান একজন ছাত্রী।)
Intense,তীব্র,He felt intense pain. (সে তীব্র যন্ত্রণা অনুভব করেছিল।)
Intensity,তীব্রতা,The intensity of the storm was high. (ঝড়ের তীব্রতা বেশি ছিল।)
Intent,উদ্দেশ্য,What is your intent? (তোমার উদ্দেশ্য কী?)
Intention,উদ্দেশ্য,I have no intention of harming you. (তোমাকে আঘাত করার কোনো উদ্দেশ্য আমার নেই।)
Interact,মিথস্ক্রিয়া করা,He interacts well with other children. (সে অন্য শিশুদের সাথে ভালোভাবে মিথস্ক্রিয়া করে।)
Internal,অভ্যন্তরীণ,This is an internal matter. (এটি একটি অভ্যন্তরীণ বিষয়।)
Interpret, ব্যাখ্যা করা,How do you interpret this poem? (তুমি এই কবিতাটি কীভাবে ব্যাখ্যা করো?)
Interrupt,বাধা দেওয়া,Please don't interrupt me. (অনুগ্রহ করে আমাকে বাধা দিও না।)
Interval,বিরতি,There will be a brief interval. (একটি সংক্ষিপ্ত বিরতি থাকবে।)
Interview,সাক্ষাৎকার,I have a job interview tomorrow. (আমার আগামীকাল একটি চাকরির সাক্ষাৎকার আছে।)
Intimate,অন্তরঙ্গ,They are intimate friends. (তারা অন্তরঙ্গ বন্ধু।)
Introduce,পরিচয় করিয়ে দেওয়া,Let me introduce my friend. (আমাকে আমার বন্ধুর সাথে পরিচয় করিয়ে দিন।)
Invade,আক্রমণ করা,The army invaded the country. (সেনাবাহিনী দেশটি আক্রমণ করেছিল।)
Invent,আবিষ্কার করা,Who invented the telephone? (কে টেলিফোন আবিষ্কার করেছিল?)
Invest,বিনিয়োগ করা,He invested all his money in stocks. (সে তার সব টাকা স্টকে বিনিয়োগ করেছিল।)
Investigate,তদন্ত করা,The police are investigating the case. (পুলিশ কেসটি তদন্ত করছে।)
Invisible,অদৃশ্য,Germs are invisible to the naked eye. (জীবাণু খালি চোখে অদৃশ্য।)
Invite,আমন্ত্রণ করা,Did he invite you to the party? (সে কি তোমাকে পার্টিতে আমন্ত্রণ করেছিল?)
Involve,জড়িত করা,The job involves a lot of travel. (কাজটিতে অনেক ভ্রমণ জড়িত আছে।)
Irony,বিদ্রূপ,The irony is that he failed the exam. (বিদ্রূপের বিষয় হলো সে পরীক্ষায় ফেল করেছে।)
Irritate,বিরক্ত করা,His constant complaining irritates me. (তার অবিরাম অভিযোগ আমাকে বিরক্ত করে।)
Island,দ্বীপ,They live on a remote island. (তারা একটি প্রত্যন্ত দ্বীপে বাস করে।)
Isolate,বিচ্ছিন্ন করা,He was isolated from other patients. (তাকে অন্য রোগীদের থেকে বিচ্ছিন্ন করা হয়েছিল।)
Issue,সমস্যা,We need to discuss this issue. (আমাদের এই সমস্যাটি নিয়ে আলোচনা করতে হবে।)
Item,আইটেম,How many items are on the list? (তালিকায় কতগুলি আইটেম আছে?)
Jail,জেল,He was sent to jail. (তাকে জেলে পাঠানো হয়েছিল।)
Jealous,ঈর্ষান্বিত,He is jealous of her success. (সে তার সাফল্যে ঈর্ষান্বিত।)
Jet,জেট,We traveled by jet. (আমরা জেটে ভ্রমণ করেছি।)
Jewel,রত্ন,The queen wore precious jewels. (রানী মূল্যবান রত্ন পরেছিলেন।)
Join,যোগদান করা,Would you like to join us? (তুমি কি আমাদের সাথে যোগদান করতে চাও?)
Joint,যৌথ,It was a joint decision. (এটি একটি যৌথ সিদ্ধান্ত ছিল।)
Joke,কৌতুক,He told a funny joke. (সে একটি মজার কৌতুক বললো।)
Journal,জার্নাল,He keeps a journal every day. (সে প্রতিদিন একটি জার্নাল রাখে।)
Journey,যাত্রা,He is on a long journey. (সে একটি দীর্ঘ যাত্রায় আছে।)
Joy,আনন্দ,She was filled with joy. (সে আনন্দে ভরে গিয়েছিল।)
Judge,বিচারক,He is a judge in the high court. (তিনি হাইকোর্টের একজন বিচারক।)
Judgment,বিচার,You must use your own judgment. (তোমাকে অবশ্যই তোমার নিজের বিচার ব্যবহার করতে হবে।)
Juice,রস,I like orange juice. (আমি কমলার রস পছন্দ করি।)
Jump,লাফ দেওয়া,Can you jump over the wall? (তুমি কি দেয়ালের উপর দিয়ে লাফ দিতে পারো?)
Junior,কনিষ্ঠ,He is my junior colleague. (সে আমার কনিষ্ঠ সহকর্মী।)
Jury,জুরি,The jury found him guilty. (জুরি তাকে দোষী সাব্যস্ত করেছিল।)
Just,শুধু,I just finished my work. (আমি শুধু আমার কাজটি শেষ করেছি।)
Justice,ন্যায়বিচার,We demand justice. (আমরা ন্যায়বিচার চাই।)
Justify,যৌক্তিকতা দেওয়া,How can you justify your actions? (তুমি তোমার কাজের যৌক্তিকতা কীভাবে দেবে?)
Keen,আগ্রহী,He is keen to learn. (সে শিখতে আগ্রহী।)
Keep,রাখা,Please keep this secret. (অনুগ্রহ করে এটি গোপন রেখো।)
Key,চাবি,Where is the key? (চাবিটি কোথায়?)
Kick,লাথি মারা,He kicked the ball. (সে বলটিতে লাথি মারল।)
Kid,শিশু,He is just a kid. (সে কেবল একটি শিশু।)
Kill,হত্যা করা,It is wrong to kill animals. (প্রাণী হত্যা করা ভুল।)
Kind,দয়ালু,He is a very kind man. (তিনি খুব দয়ালু একজন মানুষ।)
King,রাজা,He is the king of the country. (তিনি দেশের রাজা।)
Kiss,চুমু দেওয়া,She kissed her child. (সে তার সন্তানকে চুমু দিল।)
Kitchen,রান্নাঘর,She is in the kitchen. (সে রান্নাঘরে আছে।)
Knee,হাঁটু,He fell on his knees. (সে তার হাঁটুর উপর পড়ল।)
Knife,ছুরি,Be careful with that knife. (ওই ছুরিটি নিয়ে সতর্ক থেকো।)
Knock,টোকামারা,Someone is knocking at the door. (কেউ দরজায় টোকা মারছে।)
Know,জানা,Do you know his name? (তুমি কি তার নাম জানো?)
Knowledge,জ্ঞান,He has a vast knowledge. (তার বিশাল জ্ঞান রয়েছে।)
Label,লেবেল,Please read the label on the bottle. (অনুগ্রহ করে বোতলের লেবেলটি পড়ুন।)
Labor,শ্রম,He is doing hard labor. (সে কঠোর শ্রম করছে।)
Lack,অভাব,He suffers from a lack of confidence. (সে আত্মবিশ্বাসের অভাবে ভোগে।)
Ladder,মই,He climbed up the ladder. (সে মই বেয়ে উপরে উঠল।)
Lady,ভদ্রমহিলা,She is a kind lady. (তিনি একজন দয়ালু ভদ্রমহিলা।)
Lake,হ্রদ,The lake is very deep. (হ্রদটি খুব গভীর।)
Land,জমি,He bought a piece of land. (সে এক টুকরো জমি কিনেছিল।)
Landscape,ভূদৃশ্য,The landscape is beautiful. (ভূদৃশ্যটি সুন্দর।)
Language,ভাষা,What language do you speak? (তুমি কোন ভাষায় কথা বলো?)
Large,বড়,He lives in a large house. (সে একটি বড় বাড়িতে বাস করে।)
Laser,লেজার,They used a laser beam. (তারা একটি লেজার রশ্মি ব্যবহার করেছিল।)
Last,শেষ,This is the last chance. (এটিই শেষ সুযোগ।)
Late,দেরি,Why are you late? (তোমার দেরি কেন?)
Laugh,হাসা,Don't laugh at him. (তাকে নিয়ে হেসো না।)
Launch,চালু করা,They will launch the new product next month. (তারা আগামী মাসে নতুন পণ্যটি চালু করবে।)
Law,আইন,We must obey the law. (আমাদের অবশ্যই আইন মানতে হবে।)
Lawyer,আইনজীবী,He is a famous lawyer. (তিনি একজন বিখ্যাত আইনজীবী।)
Lay,রাখা,Please lay the table. (অনুগ্রহ করে টেবিলটি সাজাও।)
Layer,স্তর,The cake has three layers. (কেকটির তিনটি স্তর আছে।)
Lazy,অলস,He is a very lazy boy. (সে খুব অলস একটি ছেলে।)
Lead,নেতৃত্ব দেওয়া,He will lead the team. (সে দলটিকে নেতৃত্ব দেবে।)
Leader,নেতা,He is a great leader. (তিনি একজন মহান নেতা।)
Leaf,পাতা,The leaves are falling from the tree. (গাছ থেকে পাতা ঝরছে।)
League,লিগ,He plays in a football league. (সে একটি ফুটবল লিগে খেলে।)
Lean,ঝোঁকা,Don't lean against the wall. (দেয়ালে হেলান দিও না।)
Leap,লাফ দেওয়া,He leaped over the fence. (সে বেড়ার উপর দিয়ে লাফ দিল।)
Learn,শেখা,I want to learn English. (আমি ইংরেজি শিখতে চাই।)
Lease,ইজারা,He has a lease on the apartment. (তার অ্যাপার্টমেন্টে একটি ইজারা আছে।)
Least,সবচেয়ে কম,He has the least money. (তার কাছে সবচেয়ে কম টাকা আছে।)
Leave,ত্যাগ করা,What time does the train leave? (ট্রেনটি কখন ছাড়বে?)
Lecture,বক্তৃতা,I attended his lecture. (আমি তার বক্তৃতায় অংশ নিয়েছিলাম।)
Left,বাম,Turn left at the corner. (কোণে বাম দিকে ঘুরুন।)
Leg,পা,He broke his leg. (সে তার পা ভেঙে ফেলেছিল।)
Legal,আইনি,Is this legal? (এটা কি আইনি?)
Legend,কিংবদন্তি,He is a legend in music. (সে সঙ্গীতের একজন কিংবদন্তি।)
Leisure,অবসর,What do you do in your leisure time? (তুমি তোমার অবসর সময়ে কী করো?)
Lend,ধার দেওয়া,Can you lend me some money? (তুমি কি আমাকে কিছু টাকা ধার দিতে পারো?)
Length,দৈর্ঘ্য,What is the length of this road? (এই রাস্তাটির দৈর্ঘ্য কত?)
Less,কম,You should eat less sugar. (তোমার কম চিনি খাওয়া উচিত।)
Lesson,পাঠ,What is today's lesson? (আজকের পাঠ কী?)
Level,স্তর,What is your level of English? (তোমার ইংরেজির স্তর কী?)
Liberal,উদার,He has liberal views. (তার উদার মতামত আছে।)
Liberty,স্বাধীনতা,We fought for our liberty. (আমরা আমাদের স্বাধীনতার জন্য লড়াই করেছিলাম।)
Library,গ্রন্থাগার,I am going to the library. (আমি গ্রন্থাগারে যাচ্ছি।)
License,লাইসেন্স,Do you have a driver's license? (তোমার কি ড্রাইভিং লাইসেন্স আছে?)
Lid,ঢাকনা,Put a lid on the pot. (পাত্রটির উপর একটি ঢাকনা দাও।)
Lie,মিথ্যা বলা,Don't lie to me. (আমাকে মিথ্যা বলো না।)
Life,জীবন,Life is beautiful. (জীবন সুন্দর।)
Lift,তোলা,Can you lift this box? (তুমি কি এই বাক্সটি তুলতে পারো?)
Light,আলো,Turn on the light. (আলোটি জ্বালাও।)
Like,পছন্দ করা,I like this song. (আমি এই গানটি পছন্দ করি।)
Likely,সম্ভবত,It is likely to rain. (সম্ভবত বৃষ্টি হবে।)
Limit,সীমা,You need to limit your spending. (তোমাকে তোমার খরচ সীমিত করতে হবে।)
Line,লাইন,Please stand in a line. (অনুগ্রহ করে একটি লাইনে দাঁড়াও।)
Link,সংযোগ,There is a link between smoking and cancer. (ধূমপান এবং ক্যান্সারের মধ্যে একটি সংযোগ আছে।)
Lip,ঠোঁট,She has red lips. (তার লাল ঠোঁট আছে।)
Liquid,তরল,Water is a liquid. (পানি একটি তরল।)
List,তালিকা,Make a list of what you need. (তোমার যা প্রয়োজন তার একটি তালিকা তৈরি করো।)
Listen,শোনা,Please listen to me. (অনুগ্রহ করে আমার কথা শোনো।)
Literal,আক্ষরিক,What is the literal meaning? (আক্ষরিক অর্থ কী?)
Literature,সাহিত্য,He is studying English literature. (সে ইংরেজি সাহিত্য নিয়ে পড়াশোনা করছে।)
Little,ছোট,She has a little dog. (তার একটি ছোট কুকুর আছে।)
Live,বাস করা,Where do you live? (তুমি কোথায় বাস করো?)
Load,বোঝা,The truck is carrying a heavy load. (ট্রাকটি একটি ভারী বোঝা বহন করছে।)
Loan,ঋণ,He applied for a bank loan. (সে একটি ব্যাংক ঋণের জন্য আবেদন করেছিল।)
Local,স্থানীয়,I buy vegetables from the local market. (আমি স্থানীয় বাজার থেকে সবজি কিনি।)
Locate,অবস্থান করা,Can you locate this city on the map? (তুমি কি মানচিত্রে এই শহরটির অবস্থান দেখাতে পারো?)
Location,অবস্থান,What is your current location? (তোমার বর্তমান অবস্থান কী?)
Lock,তালা,Did you lock the door? (তুমি কি দরজায় তালা দিয়েছিলে?)
Logic,যুক্তি,There is no logic in his argument. (তার যুক্তিতে কোনো যুক্তি নেই।)
Lonely,একাকী,He feels lonely. (সে একাকী বোধ করে।)
Long,লম্বা,She has long hair. (তার লম্বা চুল আছে।)
Look,তাকানো,Look at this picture. (এই ছবিটির দিকে তাকাও।)
Loose,ঢিলা,This shirt is too loose for me. (এই শার্টটি আমার জন্য খুব ঢিলা।)
Lord,প্রভু,He is the lord of the land. (তিনি এই জমির প্রভু।)
Lose,হারানো,I don't want to lose this game. (আমি এই খেলাটি হারতে চাই না।)
Loss,ক্ষতি,It was a big loss for the company. (এটি কোম্পানির জন্য একটি বড় ক্ষতি ছিল।)
Lot,অনেক,He has a lot of money. (তার অনেক টাকা আছে।)
Loud,উচ্চস্বরে,Don't talk so loud. (এত উচ্চস্বরে কথা বলো না।)
Love,ভালোবাসা,I love my country. (আমি আমার দেশকে ভালোবাসি।)
Low,নিচু,The price is very low. (দামটি খুব নিচু।)
Loyal,বিশ্বস্ত,He is a loyal friend. (সে একজন বিশ্বস্ত বন্ধু।)
Luck,ভাগ্য,Good luck with your exam. (তোমার পরীক্ষার জন্য শুভকামনা।)
Lucky,ভাগ্যবান,He is very lucky. (সে খুব ভাগ্যবান।)
Lunch,দুপুরের খাবার,What did you have for lunch? (তুমি দুপুরের খাবারে কী খেয়েছিলে?)
Lung,ফুসফুস,Smoking is bad for your lungs. (ধূমপান তোমার ফুসফুসের জন্য খারাপ।)
Machine,যন্ত্র,This is a complex machine. (এটি একটি জটিল যন্ত্র।)
Mad,পাগল,Are you mad? (তুমি কি পাগল?)
Magazine,ম্যাগাজিন,I read this magazine. (আমি এই ম্যাগাজিনটি পড়ি।)
Magic,জাদু,Do you believe in magic? (তুমি কি জাদুতে বিশ্বাস করো?)
Mail,মেইল,Did you check your mail? (তুমি কি তোমার মেইল চেক করেছিলে?)
Main,প্রধান,What is the main reason? (প্রধান কারণটি কী?)
Maintain,বজায় রাখা,He finds it hard to maintain a diet. (তার পক্ষে ডায়েট বজায় রাখা কঠিন।)
Major,প্রধান,This is a major problem. (এটি একটি প্রধান সমস্যা।)
Majority,অধিকাংশ,The majority of people agreed. (অধিকাংশ মানুষ রাজি হয়েছিল।)
Make,তৈরি করা,She can make delicious cakes. (সে সুস্বাদু কেক তৈরি করতে পারে।)
Male,পুরুষ,Is the cat male or female? (বিড়ালটি কি পুরুষ না মহিলা?)
Man,মানুষ,He is a good man. (সে একজন ভালো মানুষ।)
Manage,পরিচালনা করা,She manages a large team. (সে একটি বড় দল পরিচালনা করে।)
Manager,ম্যানেজার,He is the manager of this store. (সে এই দোকানের ম্যানেজার।)
Mankind,মানবজাতি,This is a threat to mankind. (এটি মানবজাতির জন্য একটি হুমকি।)
Manner,আচরণ,He has good manners. (তার আচরণ ভালো।)
Manual,ম্যানুয়াল,Please read the instruction manual. (অনুগ্রহ করে নির্দেশিকা ম্যানুয়ালটি পড়ুন।)
Manufacture,উৎপাদন করা,The company manufactures cars. (কোম্পানিটি গাড়ি উৎপাদন করে।)
Many,অনেক,There are many books on the table. (টেবিলের উপর অনেক বই আছে।)
Map,মানচিত্র,Show me on the map. (আমাকে মানচিত্রে দেখাও।)
March,মার্চ,He marched with the soldiers. (সে সৈন্যদের সাথে মার্চ করেছিল।)
Margin,মার্জিন,Leave a margin on the left side. (বাম দিকে একটি মার্জিন রাখো।)
Mark,চিহ্ন,He made a mark on the wall. (সে দেয়ালে একটি চিহ্ন তৈরি করেছিল।)
Market,বাজার,I am going to the market. (আমি বাজারে যাচ্ছি।)
Marriage,বিয়ে,They have a happy marriage. (তাদের একটি সুখী দাম্পত্য আছে।)
Mask,মুখোশ,He is wearing a mask. (সে একটি মুখোশ পরে আছে।)
Mass,ভর,The mass of the object is 10kg. (বস্তুটির ভর ১০ কেজি।)
Massive,বিশাল,It was a massive explosion. (এটি একটি বিশাল বিস্ফোরণ ছিল।)
Master,মাস্টার,He is a master of this craft. (সে এই কারুশিল্পের একজন মাস্টার।)
Match,ম্যাচ,Did you watch the match? (তুমি কি ম্যাচটি দেখেছিলে?)
Material,উপাদান,What material is this made of? (এটি কোন উপাদান দিয়ে তৈরি?)
Math,গণিত,I am good at math. (আমি গণিতে ভালো।)
Matter,ব্যাপার,What is the matter? (ব্যাপারটি কী?)
Mature,পরিপক্ক,He is very mature for his age. (সে তার বয়সের তুলনায় খুব পরিপক্ক।)
Maximum,সর্বোচ্চ,What is the maximum speed? (সর্বোচ্চ গতি কত?)
Maybe,হয়তো,Maybe he will come. (হয়তো সে আসবে।)
Meal,খাবার,I had a big meal. (আমি একটি বড় খাবার খেয়েছিলাম।)
Mean,মানে,What does this word mean? (এই শব্দটির মানে কী?)
Meaning,অর্থ,What is the meaning of this word? (এই শব্দটির অর্থ কী?)
Means,উপায়,We need to find a means to solve this. (আমাদের এটি সমাধান করার একটি উপায় খুঁজে বের করতে হবে।)
Measure,পরিমাপ করা,We need to measure the room. (আমাদের ঘরটি পরিমাপ করতে হবে।)
Meat,মাংস,I don't eat meat. (আমি মাংস খাই না।)
Media,মিডিয়া,The media covered the event. (মিডিয়া ঘটনাটি কভার করেছিল।)
Medical,চিকিৎসা,He needs medical attention. (তার চিকিৎসা মনোযোগ প্রয়োজন।)
Medicine,ঔষধ,Take your medicine on time. (তোমার ঔষধ সময়মতো নাও।)
